,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Igarka,67.47,86.58,26.38,98,100,17.22,RU,1603008059
1,Prince Rupert,54.32,-130.32,42.8,87,90,3.36,CA,1603008042
2,Talnakh,69.49,88.4,28.4,74,96,15.66,RU,1603008059
3,Pimentel,-6.84,-79.93,61.23,90,54,7.05,PE,1603008059
4,Yellowknife,62.46,-114.35,25.0,92,90,8.05,CA,1603007955
5,New Norfolk,-42.78,147.06,55.99,71,100,1.01,AU,1603008060
6,Downers Grove,41.81,-88.01,57.99,40,100,8.99,US,1603008055
7,Cayenne,4.93,-52.33,75.2,100,20,2.24,GF,1603008060
8,Ribeira Grande,38.52,-28.7,57.2,71,75,5.82,PT,1603008061
9,Chui,-33.7,-53.46,58.62,96,42,5.64,UY,1603008061
10,Kayes,14.0,-11.0,80.87,58,0,2.8,ML,1603008061
11,Busselton,-33.65,115.33,81.0,23,0,9.91,AU,1603007885
12,Cape Town,-33.93,18.42,64.0,72,75,3.36,ZA,1603007938
13,Esna,25.29,32.55,92.3,15,0,7.61,EG,1603008062
14,George Town,5.41,100.34,89.6,70,40,6.93,MY,1603007888
15,Ushuaia,-54.8,-68.3,41.0,86,90,4.7,AR,1603007778
16,Kangalassy,62.35,129.96,21.2,73,40,6.71,RU,1603008063
17,Bayan,46.08,127.4,50.0,28,29,4.59,CN,1603008063
18,Broome,42.25,-75.83,39.2,64,1,5.82,US,1603008064
19,Dikson,73.51,80.55,19.47,93,0,25.43,RU,1603008064
20,Tiksi,71.69,128.87,20.05,96,100,13.44,RU,1603008064
21,Inuvik,68.35,-133.72,14.0,72,20,6.93,CA,1603008065
22,Mar del Plata,-38.0,-57.56,66.99,88,0,9.17,AR,1603007962
23,Albany,42.6,-73.97,41.0,76,34,2.48,US,1603008065
24,Port Elizabeth,-33.92,25.57,66.2,72,75,24.16,ZA,1603008066
25,Rincon,32.3,-81.24,57.2,71,1,10.29,US,1603008066
26,Itarema,-2.92,-39.92,77.76,77,76,14.14,BR,1603008066
27,Punta Arenas,-53.15,-70.92,39.2,80,98,9.17,CL,1603008066
28,Kloulklubed,7.04,134.26,80.6,83,90,6.93,PW,1603008067
29,Puerto del Rosario,28.5,-13.86,64.4,77,20,4.7,ES,1603008067
30,Bluff,-46.6,168.33,47.44,71,90,3.67,NZ,1603008067
31,Atuona,-9.8,-139.03,78.01,76,0,14.79,PF,1603008068
32,Kapaa,22.08,-159.32,73.4,94,1,6.93,US,1603008068
33,Havøysund,71.0,24.66,30.2,100,75,9.17,NO,1603008068
34,Visp,46.29,7.88,45.0,87,75,4.7,CH,1603007995
35,Meulaboh,4.14,96.13,86.36,60,100,5.91,ID,1603008069
36,Rawson,-43.3,-65.1,58.39,36,0,13.78,AR,1603008069
